year,round,gp,url,compounds_raw,hard,medium,soft,snippet
2022,18,Japanese Grand Prix,https://en.wikipedia.org/wiki/2022_Japanese_Grand_Prix,"C1, C2, C3",C1,C2,C3," 8 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C1, C2, and C3 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2022,19,United States Grand Prix,https://en.wikipedia.org/wiki/2022_United_States_Grand_Prix,"C2, C3, C4",C2,C3,C4,"13 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C3, and C4 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2022,20,Mexico City Grand Prix,https://en.wikipedia.org/wiki/2022_Mexico_City_Grand_Prix,"C2, C3, C4",C2,C3,C4,"10 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C3, and C4 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2022,21,Brazilian Grand Prix,https://en.wikipedia.org/wiki/2022_Brazilian_Grand_Prix,"C2, C3, C4",C2,C3,C4,"15 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C3, and C4 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2022,22,Abu Dhabi Grand Prix,https://en.wikipedia.org/wiki/2022_Abu_Dhabi_Grand_Prix,"C3, C4, C5",C3,C4,C5,"12 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2023,1,Bahrain Grand Prix,https://en.wikipedia.org/wiki/2023_Bahrain_Grand_Prix,"C1, C2, C3",C1,C2,C3," 7 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C1, C2, and C3 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2023,2,Saudi Arabian Grand Prix,https://en.wikipedia.org/wiki/2023_Saudi_Arabian_Grand_Prix,"C2, C3, C4",C2,C3,C4," 6 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C3, and C4 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2023,3,Australian Grand Prix,https://en.wikipedia.org/wiki/2023_Australian_Grand_Prix,"C2, C3, C4",C2,C3,C4," 9 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C3, and C4 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2023,4,Azerbaijan Grand Prix,https://en.wikipedia.org/wiki/2023_Azerbaijan_Grand_Prix,"C3, C4, C5",C3,C4,C5," 7 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2023,5,Miami Grand Prix,https://en.wikipedia.org/wiki/2023_Miami_Grand_Prix,"C2, C3, C4",C2,C3,C4," 7 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C3, and C4 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2023,6,Monaco Grand Prix,https://en.wikipedia.org/wiki/2023_Monaco_Grand_Prix,"C3, C4, C5",C3,C4,C5,"10 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2023,7,Spanish Grand Prix,https://en.wikipedia.org/wiki/2023_Spanish_Grand_Prix,"C1, C2, C3",C1,C2,C3," 6 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C1, C2, and C3 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2023,8,Canadian Grand Prix,https://en.wikipedia.org/wiki/2023_Canadian_Grand_Prix,"C3, C4, C5",C3,C4,C5,"10 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4 and C5 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at the"
2023,9,Austrian Grand Prix,https://en.wikipedia.org/wiki/2023_Austrian_Grand_Prix,"C3, C4, C5",C3,C4,C5," 7 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4 and C5 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at the"
2023,10,British Grand Prix,https://en.wikipedia.org/wiki/2023_British_Grand_Prix,"C1, C2, C3",C1,C2,C3," 7 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C1, C2 and C3 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at the"
2023,11,Hungarian Grand Prix,https://en.wikipedia.org/wiki/2023_Hungarian_Grand_Prix,"C3, C4, C5",C3,C4,C5," 5 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4 and C5 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at the"
2023,12,Belgian Grand Prix,https://en.wikipedia.org/wiki/2023_Belgian_Grand_Prix,"C2, C3, C4",C2,C3,C4,"10 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C3 and C4 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at the"
2023,13,Dutch Grand Prix,https://en.wikipedia.org/wiki/2023_Dutch_Grand_Prix,"C1, C2, C3",C1,C2,C3," 8 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C1, C2 and C3 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at the"
2023,14,Italian Grand Prix,https://en.wikipedia.org/wiki/2023_Italian_Grand_Prix,"C3, C4, C5",C3,C4,C5," 8 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4 and C5 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at the"
2023,15,Singapore Grand Prix,https://en.wikipedia.org/wiki/2023_Singapore_Grand_Prix,"C3, C4, C5",C3,C4,C5," 9 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4 and C5 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at the"
2023,16,Japanese Grand Prix,https://en.wikipedia.org/wiki/2023_Japanese_Grand_Prix,"C1, C2, C3",C1,C2,C3," a ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C1, C2 and C3 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at the"
2023,17,Qatar Grand Prix,https://en.wikipedia.org/wiki/2023_Qatar_Grand_Prix,"C1, C2, C3",C1,C2,C3," a ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C1, C2 and C3 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at the"
2023,18,United States Grand Prix,https://en.wikipedia.org/wiki/2023_United_States_Grand_Prix,"C2, C3, C4",C2,C3,C4," 7 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C3 and C4 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at the"
2023,19,Mexico City Grand Prix,https://en.wikipedia.org/wiki/2023_Mexico_City_Grand_Prix,"C3, C4, C5",C3,C4,C5," 8 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4 and C5 tyre compounds (designated hard, medium, and soft, respectively), which are three softes"
2023,20,Brazilian Grand Prix,https://en.wikipedia.org/wiki/2023_Brazilian_Grand_Prix,"C2, C3, C4",C2,C3,C4," 6 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C3 and C4 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at the"
2023,21,Las Vegas Grand Prix,https://en.wikipedia.org/wiki/2023_Las_Vegas_Grand_Prix,"C3, C4, C5",C3,C4,C5,"18 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (designated hard, medium, and soft, respectively), the three softest com"
2023,22,Abu Dhabi Grand Prix,https://en.wikipedia.org/wiki/2023_Abu_Dhabi_Grand_Prix,"C3, C4, C5",C3,C4,C5,"13 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (designated hard, medium, and soft, respectively), the three softest com"
2024,1,Bahrain Grand Prix,https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix,"C1, C2, C3",C1,C2,C3," 7 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C1, C2, and C3 tyre compounds (the three hardest in their range) designated hard, medium, and soft, re"
2024,2,Saudi Arabian Grand Prix,https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix,"C2, C3, C4",C2,C3,C4," 7 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C3, and C4 tyre compounds (the middle three in their range) designated hard, medium, and soft, res"
2024,3,Australian Grand Prix,https://en.wikipedia.org/wiki/2024_Australian_Grand_Prix,"C3, C4, C5",C3,C4,C5,"13 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (the softest three in their range) designated hard, medium, and soft, re"
2024,4,Japanese Grand Prix,https://en.wikipedia.org/wiki/2024_Japanese_Grand_Prix,"C1, C2, C3",C1,C2,C3," 8 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C1, C2, and C3 tyre compounds (the three hardest in their range) designated hard, medium, and soft, re"
2024,5,Chinese Grand Prix,https://en.wikipedia.org/wiki/2024_Chinese_Grand_Prix,"C2, C3, C4",C2,C3,C4," 7 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C3, and C4 tyre compounds (the middle three in their range) designated hard, medium, and soft, res"
2024,6,Miami Grand Prix,https://en.wikipedia.org/wiki/2024_Miami_Grand_Prix,"C2, C3, C4",C2,C3,C4," 6 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C3, and C4 tyre compounds (the middle three in their range), designated hard, medium, and soft, re"
2024,7,Emilia Romagna Grand Prix,https://en.wikipedia.org/wiki/2024_Emilia_Romagna_Grand_Prix,"C3, C4, C5",C3,C4,C5,"11 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (the softest three in their range) designated hard, medium, and soft, re"
2024,8,Monaco Grand Prix,https://en.wikipedia.org/wiki/2024_Monaco_Grand_Prix,"C3, C4, C5",C3,C4,C5," 7 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (the softest three in their range) designated hard, medium, and soft, re"
2024,9,Canadian Grand Prix,https://en.wikipedia.org/wiki/2024_Canadian_Grand_Prix,"C3, C4, C5",C3,C4,C5," 7 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (the softest three in their range) designated hard, medium, and soft, re"
2024,10,Spanish Grand Prix,https://en.wikipedia.org/wiki/2024_Spanish_Grand_Prix,"C1, C2, C3",C1,C2,C3," 8 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C1, C2, and C3 tyre compounds (the three hardest in their range) designated hard, medium, and soft, re"
2024,11,Austrian Grand Prix,https://en.wikipedia.org/wiki/2024_Austrian_Grand_Prix,"C3, C4, C5",C3,C4,C5," 7 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (the three softest in their range) designated hard, medium, and soft, re"
2024,12,British Grand Prix,https://en.wikipedia.org/wiki/2024_British_Grand_Prix,"C1, C2, C3",C1,C2,C3," 9 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C1, C2, and C3 tyre compounds (the three hardest in their range) designated hard, medium, and soft, re"
2024,13,Hungarian Grand Prix,https://en.wikipedia.org/wiki/2024_Hungarian_Grand_Prix,"C3, C4, C5",C3,C4,C5," 6 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (the three softest in their range) designated hard, medium, and soft, re"
2024,14,Belgian Grand Prix,https://en.wikipedia.org/wiki/2024_Belgian_Grand_Prix,"C2, C3, C4",C2,C3,C4," 9 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C3, and C4 tyre compounds (the middle three in their range), designated hard, medium, and soft, re"
2024,15,Dutch Grand Prix,https://en.wikipedia.org/wiki/2024_Dutch_Grand_Prix,"C1, C2, C3",C1,C2,C3," 7 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C1, C2, and C3 tyre compounds (the three hardest in their range) designated hard, medium, and soft, re"
2024,16,Italian Grand Prix,https://en.wikipedia.org/wiki/2024_Italian_Grand_Prix,"C3, C4, C5",C3,C4,C5,"12 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (the three softest in their range) designated hard, medium, and soft, re"
2024,17,Azerbaijan Grand Prix,https://en.wikipedia.org/wiki/2024_Azerbaijan_Grand_Prix,"C3, C4, C5",C3,C4,C5,"Tyre choices [ edit ] Further information: Formula One tyres Sole tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (the three softest in their range) designated hard, medium, and soft, re"
2024,18,Singapore Grand Prix,https://en.wikipedia.org/wiki/2024_Singapore_Grand_Prix,"C3, C4, C5",C3,C4,C5,"11 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (the softest three in their range) designated hard, medium, and soft, re"
2024,19,United States Grand Prix,https://en.wikipedia.org/wiki/2024_United_States_Grand_Prix,"C2, C3, C4",C2,C3,C4,"Tyre choices [ edit ] Further information: Formula One tyres Sole tyre supplier Pirelli brought the C2, C3, and C4 tyre compounds (the middle three in their range), designated hard, medium, and soft, re"
2024,20,Mexico City Grand Prix,https://en.wikipedia.org/wiki/2024_Mexico_City_Grand_Prix,"C3, C4, C5, C6",C3,C4,C5," 5 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (the softest three in their range) designated hard, medium, and soft, re"
2024,21,Brazilian Grand Prix,https://en.wikipedia.org/wiki/2024_Brazilian_Grand_Prix,"C3, C4, C5",C3,C4,C5,"15 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (the softest three in their range) designated hard, medium, and soft, re"
2024,22,Las Vegas Grand Prix,https://en.wikipedia.org/wiki/2024_Las_Vegas_Grand_Prix,"C3, C4, C5",C3,C4,C5,"12 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (the softest three in their range) designated hard, medium, and soft, re"
2024,23,Qatar Grand Prix,https://en.wikipedia.org/wiki/2024_Qatar_Grand_Prix,"C1, C2, C3",C1,C2,C3,"14 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C1, C2, and C3 tyre compounds (the three hardest in their range) designated hard, medium, and soft, re"
2024,24,Abu Dhabi Grand Prix,https://en.wikipedia.org/wiki/2024_Abu_Dhabi_Grand_Prix,"C3, C4, C5",C3,C4,C5,"25 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (the softest three in their range) designated hard, medium, and soft, re"
2025,1,Australian Grand Prix,https://en.wikipedia.org/wiki/2025_Australian_Grand_Prix,"C3, C4, C5",C3,C4,C5,"11 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds, designated hard, medium, and soft, respectively, for teams to use at th"
2025,2,Chinese Grand Prix,https://en.wikipedia.org/wiki/2025_Chinese_Grand_Prix,"C2, C3, C4",C2,C3,C4,"13 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C3, and C4 tyre compounds designated hard, medium, and soft, respectively, for teams to use at the"
2025,3,Japanese Grand Prix,https://en.wikipedia.org/wiki/2025_Japanese_Grand_Prix,"C1, C2, C3",C1,C2,C3," 9 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C1, C2, and C3 tyre compounds (the three hardest in their range) designated hard, medium, and soft, re"
2025,4,Bahrain Grand Prix,https://en.wikipedia.org/wiki/2025_Bahrain_Grand_Prix,"C1, C2, C3",C1,C2,C3,"13 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C1, C2, and C3 tyre compounds (the three hardest in their range) designated hard, medium, and soft, re"
2025,5,Saudi Arabian Grand Prix,https://en.wikipedia.org/wiki/2025_Saudi_Arabian_Grand_Prix,"C3, C4, C5",C3,C4,C5," 6 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds, designated hard, medium, and soft, respectively, for teams to use at th"
2025,6,Miami Grand Prix,https://en.wikipedia.org/wiki/2025_Miami_Grand_Prix,"C3, C4, C5",C3,C4,C5," 9 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2025,7,Emilia Romagna Grand Prix,https://en.wikipedia.org/wiki/2025_Emilia_Romagna_Grand_Prix,"C4, C5, C6",C4,C5,C6,"13 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C4, C5, and C6 tyre compounds—the softest three in their range (designated hard, medium, and soft, res"
2025,8,Monaco Grand Prix,https://en.wikipedia.org/wiki/2025_Monaco_Grand_Prix,"C4, C5, C6",C4,C5,C6," 8 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C4, C5, and C6 tyre compounds—the softest three in their range (designated hard, medium, and soft, res"
2025,9,Spanish Grand Prix,https://en.wikipedia.org/wiki/2025_Spanish_Grand_Prix,"C1, C2, C3",C1,C2,C3,"13 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C1, C2, and C3 tyre compounds (the three hardest in their range) designated hard, medium, and soft, re"
2025,10,Canadian Grand Prix,https://en.wikipedia.org/wiki/2025_Canadian_Grand_Prix,"C4, C5, C6",C4,C5,C6," 9 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C4, C5, and C6 tyre compounds—the softest three in their range (designated hard, medium, and soft, res"
2025,11,Austrian Grand Prix,https://en.wikipedia.org/wiki/2025_Austrian_Grand_Prix,"C3, C4, C5",C3,C4,C5,"11 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2025,12,British Grand Prix,https://en.wikipedia.org/wiki/2025_British_Grand_Prix,"C2, C3, C4",C2,C3,C4,"13 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C3, and C4 tyre compounds designated hard, medium, and soft, respectively, for teams to use at the"
2025,13,Belgian Grand Prix,https://en.wikipedia.org/wiki/2025_Belgian_Grand_Prix,"C1, C3, C4",C1,C3,C4,"11 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C1, C3, and C4 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2025,14,Hungarian Grand Prix,https://en.wikipedia.org/wiki/2025_Hungarian_Grand_Prix,"C3, C4, C5",C3,C4,C5,"13 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2025,15,Dutch Grand Prix,https://en.wikipedia.org/wiki/2025_Dutch_Grand_Prix,"C2, C3, C4",C2,C3,C4," 9 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C3, and C4 tyre compounds designated hard, medium, and soft, respectively, for teams to use at the"
2025,16,Italian Grand Prix,https://en.wikipedia.org/wiki/2025_Italian_Grand_Prix,"C3, C4, C5",C3,C4,C5,"12 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4 and C5 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at the"
2025,17,Azerbaijan Grand Prix,https://en.wikipedia.org/wiki/2025_Azerbaijan_Grand_Prix,"C4, C5, C6",C4,C5,C6," 9 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C4, C5, and C6 tyre compounds—the softest three in their range (designated hard, medium, and soft, res"
2025,18,Singapore Grand Prix,https://en.wikipedia.org/wiki/2025_Singapore_Grand_Prix,"C3, C4, C5",C3,C4,C5,"11 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4 and C5 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at the"
2025,19,United States Grand Prix,https://en.wikipedia.org/wiki/2025_United_States_Grand_Prix,"C1, C3, C4",C1,C3,C4," 8 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C1, C3, and C4 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2025,20,Mexico City Grand Prix,https://en.wikipedia.org/wiki/2025_Mexico_City_Grand_Prix,"C2, C4, C5",C2,C4,C5,"11 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C4, and C5 tyre compounds designated hard, medium, and soft, respectively, for teams to use at the"
